Review,Sentiment
nothing not to like .,0
"it's beautiful, peaceful, luxurious and the staff and service is always to detail.",0.55
"Great Staff.
 Well maintained property.",0.8
Food price is too much high,0.16
Atmosphere and staff dealing,0
all,0
"Room was small.
 Two single beds made movement difficult.
 Moving about was a problem.",-0.27381
"Room was nice and clean.
 Next to the elevator for easy access.",0.35
I cannot think of any negative comments except that the transport to and from the airport was too expensive. I didn't use.,-0.4
"The friendliness and helpfulness of the staff was wonderful. The breakfast was a joy, excellent Indian choices as well as international buffet. The restaurants are also superb with excellent food. There is a well-equipped and clean gym.",0.738095
"Old staff , they are rude",-0.1
"Staff / reception , food quality",0
none,0
"Excellent customer service, staff going out of their way to help the guests, immaculately clean, amazing decor, polite and friendly staff, great location, convenient check-in and check-out time. I had an early flight and the guest team made sure I have a packed breakfast delivered to me at 6am when I left for the airport. Such attention to detail I haven't experienced before. The whole Taj team goes out of their way to help.",0.431061
The changing rooms are too far away from the swimming pool area,0.1
The extra care that the guest relationships managers took to make our stay pleasant,0.366667
no,0
good service and swiming pool,0.7
The best hotel in this country.,1
lovely property and very good location. service was impeccable.,0.72
Really Great Stay...,0.8
Phone was late attended,-0.3
Service,0
Room dining delivery time and need more choice of food items in Menu.,0.5
Breakfast was amazing very nice care by them.Also location is also good need some live events and also need good disc or pub at night for youngsters.,0.583273
"Everything exceeded my expectations. A very good place to stay. Breakfast buffet was excellent, rooms were very nice and clean. The staff were all very friendly and helpful. I would stay here again.",0.708833
It was huge,0.4
Nice grounds and good rooms,0.65
"I sat in the restaurant which is at the right most end of the end when entering from the grand stairs past the check in counters, for about 20 mins. no body showed up. when they did they did I had asked for a menu, they got busy with other work for another 20 mins so I left without ordering or anything. the staff at the restaurant seemed fairly gloomy as well.",0.213839
location was great. property in general was grand.,0.45
na,0
"every thing excellent stuff beautiful
 ambiance",0.925
dining experience,0
"BF and Dining needs some work, especially for the spread and crowd management
 I had to find my own table",0.3
"Starting from the time we stepped into the hotel all the way during our stay we felt treated no less than a VIP. The staff works really hard to make sure your stay is just not comfortable but a lot more than that. The hotel staff takes care of your privacy, security and hygiene and they do a phenominal work. Poorti Agarwal was taking care of the guests on our floor and is amazing at how she goes above and beyond to make our stay comfortable. We never felt the need to ask her for something, somehow she always knew what we or our kids would be needing next. She kept checking in and really helped with making sure our kids were happy, engaged with activities and relaxed. It made our stay a really relaxed vacation. We travelled with a 3 and a 5 yr old and she made sure we all felt safe, happy and taken care of. She helped us create memories and we will surely be going back to create more.
  We had the breakfast buffet at the Capitol Kitchen everyday during our stay of 3 days. Chef Mani did a phenominal job of making our taste buds tangle with the delicious food varieties he offered. Mr. Rajinder was exceptionally good with his customer centric approach taking care of us while we eat. Our kids as well enjoyed and loved the food, ambience, hospitality and the vibe of the staff. Each staff member is charismatic, always smiling and full of energy to help you. Kudos to the team!!!",0.347423
"amazing service, wonderful rooms. hospitality at its state of the art.",0.8
"Good food, Friendly staff",0.5375
TV inside my Room No - 666 was very small and I’m in no way expected to see such a small Screen TV in such a Majestic hotel,-0.135
It’s Magestic,0
I really want to appreciate the staff of Taj specially Miss Khushi from reception for pampering me on my birthday and since I'm pregnant she did every bit to impress me. And Mr Sumit from food and beverage services for taking care of my daughter while I was having my food...,0.296825
Nothing.,0
"Everything. We got a free upgrade to our room as we checked in late to our room since we were delayed at the airport due to lost baggage. This gesture immediately put my mind at ease and took away the stress of misisng luggage while traveling away from home. Our suite was huge, services and staff were superb. Room service Food was cooked to perfection. The breakfast buffet staff attended to all our needs and whims. The waitstaff even arranged special meals for my infant. We felt like royalty during the stay !",0.303571
our suite wasn’t up to our expectation,0
"although we were upgraded to a suite , we found the suite very out dated and old .
 the sockets were loose for our converters .
 no USB sockets .
 the room was stuck in 1980’s",0.074359
"The property is par excellence !! Very well maintained and the services are impeccable. 
 The staff is very courteous. Tejas and Zubair’s hospitality was exceptional. The check in was quick and smooth. 
 Mercy at the tea lounge was very helpful and even though she was winding up for the day, she still served us and sent the goodies to our room.",0.475714
"Taj lives upto its name by outstanding Service. Himanshi Khurana went out of the way to ensure we had the right room for the occasion and and made our Anniversary memorable. The cake , balloons and everything for the kids was lined up seamlessly. Thank you Himanshi for the excellent service !",0.477143
Floor 2 could do with an upgrade.,0
"Location is perfect - close to airport and green. Loya restaurant was delish for dinner and open till midnight.
 Karan at the front desk was a delight - helped us with check in check out and more. Very service oriented.",0.3
it’s outdated furniture and fittings,-0.4
location and Taj hospitality,0
"Really five star hotel! Wonderful stay, delicious very varied breakfasts, beautiful interior, very clean. I want to make special mention of the very delicate and highly qualified hotel staff, they do work imperceptibly and qualitatively for your comfort. Great place to stay in Delhi!",0.427619
No reason,0
"Best hospitality, service and staff anywhere in the world. Taj always lives up to its reputation.
 Also great breakfast.",0.9
.,0
Good,0.7
"the club lounge, breakfast was amazing and food at the loya was good.",0.65
nothing,0
super,0.333333
not a thing,0
"great facilities, staff, food and location",0.8
"I had an exceptional stay at the Taj Palace in New Delhi. From check-in to check-out, the customer service was fantastic - everyone was kind, attentive and went above and beyond to ensure I had a great experience. Special shout out to Karan Singh, he epitomized what 5-star service should look like and he made Taj Palace feel like home for the week I was there. This is now the only hotel I'll stay at while I'm in Delhi and I'm definitely exploring more Taj properties after this.",0.350925
"My family and I had a wonderful time at the Taj Palace. I want to give special praise to Prem in the Kitchen and Gulab in the Lobby who were extremely attentive and warm. We were a large group and the staff went above and beyond in making sure everything was perfect. Hari, Rajander, and Parbhakar in the kitchen were helpful too.",0.508929
nothing,0
everything great,0.8
nothing,0
"beautiful property, staff gave us a lovely reception, room comfortable and shower was good. breakfast was nice, we had a guest join us for breakfast on our last day and there was no extra charge. we have stayed here as a family many times always a nice place to stay in Delhi, haven from the chaos!",0.477778
it was all perfect,1
I liked everything except that the food is too overpriced I think,0.6
"Excellent hospitality, wonderful property ,great staff ....i really had a wonderful time here.",0.8
"At the check out time a better attitude towards clients would be better
 And a better table service during breakfast is needed",0.5
"Amazing check in and in room dining services 
 Helpful staff 
 Cleanliness 
 Calm atmosphere 
 comfort 
 cuisine 
 Listening 
 Bed and sheets 
 security 
 Everything was good
 Amazing experience",0.55
ambience in souk restaurant - a little noisy,-0.1875
check in and out very smooth. good club lounge . friendly staff everywhere,0.531667
I was not able to use the swimming pool as it was closed. I was not informed beforehand!!!,-0.22266
"The traffic confirms around the Hotel were very unusually bad.
 pricing could’ve been a bit lenient.",-0.1
Very well kept.,0.2
Honestly nothing to note!,0.75
"Staff were very helpful especially during checkin when the credit card was not working and they told us not to worry about it and the hotel could take care of it later. The attitude of staff was very positive and welcoming - saying these things happen!
 When we wanted some tips for local places to eat/visit the concierge staff Ms Pushpita went out of her way to arrange a taxi and provide directions. She was a superstar. Staff at the Capital Kitchen where we took all our breakfasts were also stars and knew our preferences within a couple of days - especially Manu(?)",0.094886
"Excellent Ambiance 
 Food 
 staff",1
"sometimes some misunderstandings took place, but were resolved well",0
"beautiful service, good food, wonderful room.",0.85
"Amazing place ♥️ Spa Jiva is a heaven in Delhi.
 I would stay there every time because the service is unique and employees are part of the unique experience.",0.45
NA,0
Staff,0
Not much to say about Taj it stands on its own excellency!,0.325
hospitality,0
"very friendly personal, especially check-in",0.1625
a little far from then center,-0.0625
environment and staffs,0
restaurant staff of capital kitchen not professional enough though,-0.025
amazing staff and clean rooms..,0.483333
Now it's required renovation,0
It's name,0
All good,0.7
the breakfast was good but could have had more selection,0.6
"nice spacious room and bathroom, good restaurants in hotel. the staff was great",0.7
-,0
Great location and Customer Service,0.8
Nothing to not like,0
Taj service is par excellence,0
"I STAYED THERE because i was participating in an event in the hotel, but staff refused to help in any fashion for the same .we were supposed to carry goods from room to the venue ourselves ,which was part of the hotel. I paid a huge amount only to get that help. otherwise like all other participants i could have stayed any where .",0.06875
A VERY SPECIAL PROPERTY IN EVERY SENSE OF THE WORD,0.464286
Nothing.,0
"Customer service, food, ambiance,cleanliness, the list is endless. Truly world class service and experience. Special mention of Himanshi @ front desk .",0.116071
checkout,0
staff and breakfast,0
the building is old -- but they are fixing it up.,0.1
"This Taj in New Delhi is a solid value in a convenient location. The recently opened restaurant which I tried the last evening was excellent, both for its selection of foods / meals and for the service.",0.227273
The house is aging -- they are working on it.,0
This Taj is a solid value in a convenient location.,0
location is a bit out of the city centre. strong perfume smell in reception/lobby area which could be toned down,0.138889
"rooms, staff, facilities were all amazing, 100% 5 star",0.6
As we were travelling with our little one it would have been nicer had there been a dedicated play area.,-0.1875
"The staff was very helpful and courteous. They also provided complimentary cakes for celebrating my spouse's b'day. The pool, breakfast was excellent. The south Indian counter in breakfast deserves special mention, excellent !",0.57619
"three of us staying didn't supply 3 cups a glasses in the room, needed more milk for tea. the same spa treatment we laid for we're totally different to each other. should be the same and consistent.",0.104167
welcome pleasant staff and cleanliness,0.766667
Nothing,0
Everything. The best hotel in Delhi,1
Nothing,0
"Firstly the receiving , it was quiet big place but a front desk manager ""Soumanath"" had treated me very well and they had resolved a little inconvenience while check in with intense monitoring and care this is introduction and rest room, ambience,Service, house keeping, food, hygiene, what not everything were damn good and last they had dropped me at the last door step with a genuine pleasant smile ....... I have to definitely mention ""Mili Mukherjee"" ji director of rooms for asking about the experience and stay with loads of love . And at last I will cherish the stay at the top until I visit them again ...... 
 Best wishes , Love and respect for all the team ( Bottom to Top).",0.294518
That I could not stay longer.,0
"As our driver has often said “….The Taj is the Taj….”. the name “Taj” is a description. One of quality, royalty, elegance and luxury. You are treated like royalty from the second you drive in.",0
Though some of the things are starting to look dated-the Television in the room definitely does not belong in such a facility. Some upgrades will definitely help the overall experience.,0
"It was a very pleasant stay and an amazing experience overall. Best part about the stay is the staff and service at Taj! Exemplary and outstanding.
 Food- amazing spread and we loved the choices.
 Room- Cleanliness is outstanding.",0.606667
nothing not to like,0
"beautiful, clean , luxurious",0.608333
"Food was perfect and the staff and service was great.
 Mr. Deepak pal in F& B was a gentleman and tended to my needs.
 Came for 2nights stayed for 4",0.9
NA,0
location,0
Smoking in rooms,0
"Courtesy offered by staff ,well maintained",0
for solo traveller they should offer king size bed instead bed,0
food,0
Check in process took more than an hour. We were waiting and the people came after us checked in before us.,0.5
"Food, facilities",0
The pillow didn't suit my friend.,0
They upgraded two levels to give me and my friend the Taj Club room.,0
Very friendly and caring staff,0.4875
nothing,0
everything,0
"rooms still lack basic amminities like iron box, iron Board etc",0
the brand,0
The restaurant wasn't great. Not enough fresh fruit and vegetable. Not a great coffee,0.175
"Great hotel! Once in live! Everything is clean and fancy and comfortable. The service is +++
 Beautifull peaple around (evant at the hotel...)",0.48428
"1) The upgradation of my booking to club class room. Enjoyed the evening snacks & drinks at the lobby.
 2) The breakfast was excellent & all items were tasty.
 3) The staff took very good care of us at the table.",0.803333
There was nothing i didnt like.,0
I was super impressed with the hospitality and customer service. Kudos to Neelima at reception desk and Prabhakar at the coffee shop and restaurant for the outstanding customer service and connect with the guests. It was a great experience given that i reached early to the property and had to work remotely. It was the little things that make a difference and the warm hospitality and humane attitude. Hats off to the tatas the people employed.,0.380729
The quality of room dine-in food was not up to the standard considering the amount I paid. Most of the items were quite overpriced compared to the other similar hotels as the taste was just not there. the experience was good but the rooms are quite small and need technological advancements.,0.1375
The property is quite beautiful and has plenty of things to roam around. room services are quite prompt and the staff is very helpful.,0.525
"i loved the staff. i met Himanshi at the reception and she 
 made everything very smooth for us. so thank you. 
 even the staff at the restaurant was lovely.",0.573333
very comfortable experience. I would recommend this hotel to my friends.,0.52
it was not value for money,0
location,0
"Everything was good. Of course, there is always room for improvement.",0.7
Breakfast - Very good. Specially the South Indian.,0.633571
lobby doesn’t give five star deluxe feeling.,0.6
Rooms are comfortable. Staff is good. Food is good.,0.6
nothing like that,0
Very good spread was there and delicious items,0.955
"super smooth check in, excellent staff",0.577778
The room seemed congested. Bed could be more spacious,0.5
Friendliness and hospitality of the staff.,0
Good,0.7
The furniture can do with some refurbishment,0
"Excellent service from checking in to checking out. Really enjoyed breakfast and dinner at the hotel, both buffet style.",0.75
Booking.com should ensure the clients get the room according to the description provided instead of the client having to ask or request at the property as they are not given the room booked.,0
"Cleanliness, Breakfast, Location … Perfect!",1
Everything was good no complain,0.7
All Good,0.7
None,0
A good variety of menu,0.7
